t,Ref1,Test1,Ref2,Test2,Ref3,Test3,Ref4,Test4,epoch,loss
0.0,-0.058209465476497746,-0.06643483,-0.23412600931584607,-0.21865241,-0.011024822734548584,-0.015986241,-0.11835976183109978,-0.10703866,0.0,0.0026990543119609356
0.05,-0.07093622007521444,-0.09346038,-0.2289141368061657,-0.21356973,-0.011201840358999324,-0.014989216,-0.124133485030142,-0.109928146,10.0,0.00043865753104910254
0.1,-0.08657072954349941,-0.081646614,-0.21808236291685965,-0.2052803,-0.01114012802315069,-0.014196143,-0.130291332293929,-0.11805258,20.0,0.0005079080583527684
0.15,-0.10241921580295435,-0.050704796,-0.20038382119730472,-0.19448844,-0.010924053071177602,-0.013275502,-0.13582703865518692,-0.12734075,30.0,0.0003995002480223775
0.2,-0.12098619537362473,-0.041137703,-0.17655970494845585,-0.17952466,-0.010712634965918346,-0.012958547,-0.14155245163721983,-0.13407305,40.0,0.00018243584781885147
0.25,-0.13949676256764237,-0.06977231,-0.15553759197129405,-0.16733165,-0.010662249506364792,-0.014060695,-0.1464990973637836,-0.13736862,50.0,0.00017258829029742628
0.3,-0.16112913425588019,-0.12452749,-0.13706789749136006,-0.15824014,-0.010748439486027845,-0.013829116,-0.15119527459404675,-0.14237699,60.0,0.00015496838022954762
0.35000000000000003,-0.18237799464618212,-0.17325938,-0.12296511176608337,-0.14987841,-0.0108395967633671,-0.013584331,-0.15328742540118073,-0.14910004,70.0,0.00020517352095339447
0.4,-0.2051208410396594,-0.20215419,-0.10759522095631006,-0.13673659,-0.010824714340511965,-0.0129632335,-0.15476021556434116,-0.15819862,80.0,0.00017835113976616412
0.45000000000000007,-0.22616867522608425,-0.2087253,-0.09006793274311896,-0.122293144,-0.010667585455291562,-0.01268401,-0.15774318586958097,-0.16505606,90.0,0.00011842764070024714
0.5,-0.24567149316141612,-0.21437737,-0.0727025542726272,-0.10920982,-0.01046841173904797,-0.011600006,-0.16227822077660992,-0.16714379,100.0,8.280150359496474e-05
0.55,-0.2660547246490007,-0.21707314,-0.05628089947507703,-0.10051185,-0.010304822169990149,-0.011220112,-0.16730837670424156,-0.16650417,110.0,0.00012314501509536058
0.6,-0.2880194966833366,-0.21672004,-0.04136771517322235,-0.09065534,-0.010208316065332462,-0.011620037,-0.17146209946938706,-0.16884722,120.0,0.00016738477279432118
0.6500000000000001,-0.30575572624971836,-0.20944922,-0.030454085618660524,-0.081178784,-0.010159081325110267,-0.010767613,-0.17332601053299787,-0.17576522,130.0,0.0001217429235111922
0.7000000000000001,-0.31965433845976776,-0.21761262,-0.020822201855830214,-0.07191922,-0.010072719693552184,-0.01096097,-0.17390565763304125,-0.17866483,140.0,0.00014319240290205926
0.7500000000000001,-0.3266721407997606,-0.24489889,-0.020709745927134232,-0.062841706,-0.00991843050220192,-0.010588687,-0.17443305518957042,-0.17869757,150.0,0.0001118967920774594
0.8,-0.32850677258082783,-0.2809596,-0.025238765147840243,-0.053177036,-0.009681307005545757,-0.01022625,-0.17597346906995318,-0.1750262,160.0,8.263225754490122e-05
0.8500000000000001,-0.32563163412914237,-0.29876527,-0.023240705249371676,-0.047214877,-0.009443834739157919,-0.009703845,-0.17812692780145314,-0.17179224,170.0,6.150140688987449e-05
0.9000000000000001,-0.31753178171998897,-0.29977778,-0.014294249584881886,-0.041452,-0.009210611035079976,-0.0093851015,-0.18025500393146507,-0.17357609,180.0,5.6323180615436286e-05
0.9500000000000001,-0.30455281195416156,-0.28649604,-0.005643358006613518,-0.033667125,-0.009006082494014335,-0.009293225,-0.18122206408678815,-0.18048257,190.0,0.00012753323244396597
1.0,-0.2835224575980836,-0.26903445,-0.0013844220599848972,-0.027545992,-0.008813395964879536,-0.009336811,-0.18108312925658002,-0.188228,200.0,0.0001779806480044499
1.05,-0.2577065069958019,-0.23267072,-0.0012897570003729169,-0.023431052,-0.008585753786234964,-0.009749446,-0.18044294513310868,-0.18846503,210.0,6.850585486972705e-05
1.1,-0.22416092325784284,-0.17859234,-0.0021232045735796947,-0.017732948,-0.008288452020248882,-0.009691015,-0.17998060843860214,-0.18331699,220.0,6.598902109544724e-05
1.1500000000000001,-0.18994894730998627,-0.1309219,-0.0020421002252486325,-0.012967855,-0.007982462825318221,-0.009721201,-0.1800459788712693,-0.17934725,230.0,8.138657722156495e-05
1.2,-0.15147228985806663,-0.08408687,-0.0011419882882449423,-0.008601263,-0.007644206366635499,-0.008697264,-0.18034069636184671,-0.17839432,240.0,6.122421473264694e-05
1.2500000000000002,-0.11813891000129802,-0.04971678,-0.00039255110162808674,-0.006584063,-0.0073392895285280145,-0.00912717,-0.18030541176668902,-0.18173535,250.0,8.238219015765935e-05
1.3000000000000003,-0.08470716753006806,-0.030412111,-8.861456551132477e-05,-0.0038108677,-0.007010925151624655,-0.008372642,-0.17960094196627302,-0.18387355,260.0,7.524280226789415e-05
1.3499999999999999,-0.05627991781887184,-0.022478849,-0.0003167147594742105,-0.00046559796,-0.0066938526639001355,-0.008287709,-0.1784553044240174,-0.18621631,270.0,9.838733967626467e-05
1.4000000000000001,-0.030470582743981334,-0.02449764,-0.0005742058040178295,0.002784837,-0.0063228987878757486,-0.008375552,-0.17710682052239363,-0.18306354,280.0,8.375154720852152e-05
1.4500000000000002,-0.01337888033177131,-0.017272837,-0.00047773141969260696,0.0061083287,-0.005925986480118963,-0.008625902,-0.17608625548002618,-0.18101734,290.0,5.960322232567705e-05
1.5000000000000002,-0.002581285839603997,-0.0038798153,-0.00020451298238307992,0.005701054,-0.005553400738280664,-0.008407589,-0.17526247197585434,-0.18369573,300.0,6.948191003175452e-05
1.5500000000000003,0.0015003669226993474,0.0019019023,-0.000148330940320817,0.006352596,-0.005197092073998562,-0.009439375,-0.17454412378665798,-0.18620247,310.0,5.6212713388958946e-05
1.6,0.0012548320127011485,-0.0017574206,-0.0005335204597326265,0.0076508895,-0.004812207805841389,-0.008582082,-0.17353589824219554,-0.1862769,320.0,5.0286609621252865e-05
1.6500000000000001,-0.0023744607545390286,-0.011705402,-0.0011189206204302454,0.006838586,-0.004440507553537384,-0.009215575,-0.17232007001298136,-0.18253322,330.0,5.855976269231178e-05
1.7000000000000002,-0.00945039591465279,-0.02760917,-0.001539340258489512,0.004036002,-0.004016912734211874,-0.009455416,-0.1678341547038367,-0.17990178,340.0,0.00010287672921549529
1.7500000000000002,-0.018081580847057736,-0.045849804,-0.0016048307075356165,0.0013711415,-0.003619031886510958,-0.008962102,-0.13354476054452732,-0.1775502,350.0,3.176242171321064e-05
1.8000000000000003,-0.028555535614838836,-0.047894694,-0.0016438397108403122,-0.0015035272,-0.0031986794573401305,-0.00930278,-0.09089532128018418,-0.1771672,360.0,4.489644197747111e-05
1.85,-0.038314983278153254,-0.040717132,-0.002190656462809647,-0.0021724775,-0.0028292610931353553,-0.009953521,-0.07705966232939986,-0.17532286,370.0,4.3906875362154096e-05
1.9000000000000001,-0.04832870840814469,-0.0422677,-0.0038568884286280768,-0.0020747446,-0.002447719354247318,-0.009326167,-0.09637015274312546,-0.17258534,380.0,5.035769572714344e-05
1.9500000000000002,-0.056790600763022225,-0.036274876,-0.006147715086687034,-0.0058111064,-0.002107592636252898,-0.009819541,-0.12757409463467032,-0.17058991,390.0,5.319724732544273e-05
2.0,-0.06489625331436964,-0.02443729,-0.005012382595919982,-0.010307465,-0.0017509792864302952,-0.010043118,-0.14803950514174044,-0.16780186,400.0,5.6450022384524345e-05
2.0500000000000003,-0.07109634254684362,-0.026781939,-0.001538645577586704,-0.013924807,-0.00143836980149313,-0.009234041,-0.1428062301911813,-0.16494358,410.0,6.758581002941355e-05
2.1,-0.07603814688096147,-0.044181146,0.0004972406155869276,-0.015455399,-0.00112768512212908,-0.009427778,-0.12044040726939284,-0.16019833,420.0,6.720310921082273e-05
2.15,-0.07877819148394644,-0.060971845,-0.002605160253974852,-0.015890945,-0.0008741747381012347,-0.008905932,-0.10304957433979609,-0.16122393,430.0,6.45201580482535e-05
2.2,-0.07988243613312067,-0.06739162,-0.011435147722274722,-0.017824344,-0.0006398508018063282,-0.009657104,-0.10187793405195307,-0.15947646,440.0,5.4073985666036606e-05
2.25,-0.07942869090809093,-0.07871577,-0.021186853264257614,-0.020608995,-0.0004627127567563856,-0.009620855,-0.12198695168718862,-0.153964,450.0,4.54272776551079e-05
2.3000000000000003,-0.07867867253756874,-0.07927795,-0.026024966310742022,-0.025602419,-0.00031656769459104193,-0.0101669505,-0.18546347925877552,-0.14803034,460.0,5.0513710448285565e-05
2.35,-0.0769161457893098,-0.07677378,-0.026069623393085883,-0.03153886,-0.00022397507689299643,-0.009970615,-0.24702236831195493,-0.1474556,470.0,3.0414552384172566e-05
2.4,-0.07261014859843715,-0.06988126,-0.025213570445602716,-0.035454515,-0.00019224920219653726,-0.009470213,-0.2604657517637995,-0.15116,480.0,3.500027014524676e-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,490.0,4.525801705312915e-05
