t,Ref1,Test1,Ref2,Test2,Ref3,Test3,Ref4,Test4,epoch,loss
0.0,0.0030779630076232193,-0.024961581,0.03870450326306795,0.05047168,-0.06481865081864849,-0.06267564,0.17914031849330697,0.188105,0.0,0.003125634277239442
0.05,-0.14070270258787282,-0.18719323,0.12510304944638304,0.1550584,0.004909222787103484,0.0082680015,-0.00591344801663456,-0.0026413263,10.0,0.0009531854884698987
0.1,-0.06263913623634264,-0.030628666,-0.2519427188337218,-0.28711262,-0.011863798569491114,-0.0046284255,-0.12736679826123354,-0.1161872,20.0,0.0006360640400089324
0.15,0.0021200370719955067,-0.04897567,0.043964001514535084,0.048055023,-0.06582727486314432,-0.052028626,0.18104753177393912,0.18977427,30.0,0.0004916959442198277
0.2,-0.15221342600434737,-0.19870485,0.13673177638607997,0.15582992,0.005170341281571434,0.010621581,-0.009093371744626301,-0.0038495893,40.0,0.000364963139872998
0.25,-0.0763343816509803,-0.0674056,-0.2463342290544757,-0.23557611,-0.012054287023618571,-0.0056254026,-0.13357989489586522,-0.12248434,50.0,0.00038089032750576735
0.3,0.0006993983975727814,-0.04374702,0.04978974919959977,0.067806445,-0.06547533278465761,-0.0492543,0.18282590697271695,0.19367379,60.0,0.0003238151839468628
0.35000000000000003,-0.163644377809129,-0.20704593,0.14623115746967993,0.15568952,0.005340362306259206,0.013787444,-0.012922163413348377,-0.0039146254,70.0,0.0002640982565935701
0.4,-0.09315865860586317,-0.10232909,-0.23467817011664804,-0.20965755,-0.011987878452760859,-0.0054436903,-0.14020634697752332,-0.13297758,80.0,0.0002657305740285665
0.45000000000000007,-0.0010097993953759766,-0.025887389,0.053906508156631276,0.08751169,-0.0642497420982111,-0.05680248,0.18416188664609123,0.19081613,90.0,0.0003336630470585078
0.5,-0.17241892991742847,-0.21386181,0.14899093525260915,0.14766815,0.005420637070049184,0.014701169,-0.016813175937454974,-0.0006945033,100.0,0.00019442879420239478
0.55,-0.11021319573001222,-0.12212378,-0.2156327905227845,-0.21580845,-0.011755360455161857,-0.0052088853,-0.14616331397745608,-0.13882777,110.0,0.00018425066082272679
0.6,-0.003316310305164572,-0.010645704,0.05697428376660297,0.09531651,-0.06307506851701303,-0.06821977,0.18518362707599903,0.18749374,120.0,0.0001814030547393486
0.6500000000000001,-0.17966129702378533,-0.2132797,0.1462907293528983,0.14074463,0.005521177842240732,0.01192214,-0.021406353078222876,-0.00026593497,130.0,0.00023092252376955003
0.7000000000000001,-0.130193100257639,-0.14269269,-0.18999568749828347,-0.23274782,-0.01152785368474647,-0.0070356354,-0.15232442404529692,-0.14408681,140.0,0.00016900301852729172
0.7500000000000001,-0.005883920674467569,-0.0029914714,0.05961315701410154,0.09395011,-0.06285421754293974,-0.07496501,0.18567650488275525,0.18568403,150.0,0.00021797360386699438
0.8,-0.18429674393401924,-0.21777542,0.14181192609840743,0.12928249,0.005697372250800471,0.009250324,-0.025979172913025164,-0.00587915,160.0,0.0001793766423361376
0.8500000000000001,-0.15011229949416507,-0.16876599,-0.16737381684592556,-0.23301965,-0.011473633951933772,-0.010627631,-0.15764750360018917,-0.14573899,170.0,0.00018678110791370273
0.9000000000000001,-0.009173009546459165,-0.0075465078,0.06357518569037603,0.09380985,-0.0634634995260567,-0.07335871,0.18543176120988583,0.18589282,180.0,0.00014441112580243498
0.9500000000000001,-0.18705738079033185,-0.22992359,0.1381511166652893,0.115180485,0.005979069969824069,0.007780293,-0.031211897517294054,-0.015924621,190.0,0.0001925983524415642
1.0,-0.1733908688162254,-0.20040114,-0.14749860068818016,-0.21070965,-0.011566382886048299,-0.014821485,-0.16270105430553336,-0.1562489,200.0,0.0001909287238959223
1.05,-0.012708669459225976,-0.01861738,0.06819969147501158,0.095814385,-0.06412453659082987,-0.06471908,0.18263200471486546,0.189144,210.0,0.00014854299661237746
1.1,-0.1871460498618468,-0.23980732,0.1356544520097845,0.100427695,0.006259948774405411,0.005483551,-0.035815058392104374,-0.026343815,220.0,0.00022138826898299158
1.1500000000000001,-0.1962567420888901,-0.23093973,-0.13232260982267008,-0.18045826,-0.011664477123256045,-0.017853094,-0.1649524152888764,-0.16938561,230.0,0.0001408577081747353
1.2,-0.017042386208899463,-0.029944474,0.07253146154828498,0.10605716,-0.06421203099520553,-0.05913437,0.17889930481162214,0.19195457,240.0,0.00012948847142979503
1.2500000000000002,-0.18293727409892085,-0.22877052,0.1307072538092907,0.08817006,0.006508854521318508,0.002728764,-0.040689862970033144,-0.03377621,250.0,0.0001320092851528898
1.3000000000000003,-0.22073029191419163,-0.24817598,-0.11578308868998045,-0.15341502,-0.011648462165806795,-0.01970443,-0.16653728302340315,-0.1788819,260.0,0.0001695829996606335
1.3499999999999999,-0.021805732648063316,-0.028461423,0.07388299274250204,0.106018424,-0.06350046141822542,-0.06077551,0.17705272369859978,0.1885914,270.0,0.00011302720668027177
1.4000000000000001,-0.17360643860227817,-0.20011361,0.12039770006722864,0.08514448,0.006676658635962874,0.001234184,-0.04598800706470301,-0.037840165,280.0,0.00010591330647002906
1.4500000000000002,-0.2433798411290995,-0.26273468,-0.09692199478965942,-0.14284274,-0.01147937596019717,-0.020077195,-0.1697472538040887,-0.18401831,290.0,9.226200199918821e-05
1.5000000000000002,-0.026664402491087282,-0.0212316,0.07163597466679361,0.10686301,-0.06255312626363348,-0.06579425,0.17734496627292923,0.1850559,300.0,0.00011067887680837885
1.5500000000000003,-0.16213853032488051,-0.15871848,0.1061580119025998,0.08896447,0.006799647932550857,0.002124802,-0.05149294051581164,-0.038280148,310.0,0.00010423408821225166
1.6,-0.2643668002025698,-0.2750931,-0.07823513176996776,-0.1369469,-0.011265045362168947,-0.020305272,-0.17462739944797284,-0.18204361,320.0,0.0001031439023790881
1.6500000000000001,-0.03207695205897796,-0.008595222,0.06686616137519749,0.11113344,-0.0618438582084506,-0.06985102,0.17813405285356096,0.17945075,330.0,0.00013470368867274374
1.7000000000000002,-0.1483883043767798,-0.12958282,0.0898197801698732,0.08748544,0.006950029727935548,0.0029042633,-0.057342705163450663,-0.040844105,340.0,9.402669093105942e-05
1.7500000000000002,-0.2863011712474856,-0.30165312,-0.060563808666936496,-0.1364289,-0.011089006822402681,-0.019956976,-0.1800403442304358,-0.18149017,350.0,0.0001045412354869768
1.8000000000000003,-0.038553836476972664,0.0051766476,0.06058021612131848,0.1119249,-0.061592006699708615,-0.06875026,0.17763316275711544,0.1758169,360.0,0.0001195306540466845
1.85,-0.13008579668128165,-0.103650235,0.07278645105075143,0.07129953,0.007177078722564457,0.005026855,-0.06348357209783972,-0.044970796,370.0,9.623410733183846e-05
1.9000000000000001,-0.3099374361847488,-0.3387565,-0.0445157488616334,-0.124059826,-0.01098515671850966,-0.018585574,-0.18451016033412426,-0.18416524,380.0,0.00010711438517319039
1.9500000000000002,-0.04490029292602469,0.009964188,0.05451107180188517,0.104626395,-0.06163775269054683,-0.06493986,0.17525177471357092,0.17525141,390.0,9.676155605120584e-05
2.0,-0.10912865814413703,-0.07829737,0.05873619182695529,0.055077568,0.007426112050752166,0.006305406,-0.06859579440978117,-0.04967323,400.0,0.00010324041795684025
2.0500000000000003,-0.32902337162554407,-0.36069006,-0.032771605140245214,-0.1020865,-0.010932175273394275,-0.01705014,-0.18651591280221871,-0.19389655,410.0,0.00010767931235022843
2.1,-0.05184972078270714,-0.002271272,0.04679177219972442,0.09024083,-0.06153534438511868,-0.061442405,0.17141055850113923,0.17725712,420.0,7.489479321520776e-05
2.15,-0.08198475827968825,-0.055931583,0.044458850372647324,0.058712434,0.007682680648114105,0.005092452,-0.07363097862407107,-0.0594597,430.0,0.00011758855544030666
2.2,-0.3439796516153145,-0.3747344,-0.022406746533595714,-0.06853853,-0.010839241624880636,-0.018308861,-0.18713967035387113,-0.20792815,440.0,7.992980681592599e-05
2.25,-0.058115718642990546,-0.02219939,0.058045327602160975,0.07415886,-0.061030194788524755,-0.0631132,0.1680129510919786,0.17806783,450.0,9.767588198883459e-05
2.3000000000000003,-0.053786619828841434,-0.029304862,0.04888370648510838,0.06410947,0.007868709750104941,0.0036358745,-0.0782601052537872,-0.06742901,460.0,7.847339293221012e-05
2.35,-0.35153150032679287,-0.3796815,-0.022285732843115837,-0.049273085,-0.010673211210451106,-0.020246927,-0.1877072022341885,-0.21308039,470.0,0.0001087247219402343
2.4,-0.06467763889935861,-0.031458437,0.09039258238628393,0.06710742,-0.060094733686583364,-0.06582387,0.16536553275868418,0.1750123,480.0,8.165097096934915e-05
NaN,-0.021271663182256047,0.02110928,0.06681732018764115,0.065032214,0.0080170209509153,0.003489748,-0.08368684819550132,-0.0707836,490.0,8.92064708750695e-05
NaN,-0.35350574539393226,-0.38171315,-0.027159405014136898,-0.045350984,-0.0104180428990726,-0.021648256,-0.18936483977000484,-0.21395674,500.0,7.276156975422055e-05
NaN,-0.0705404716092692,-0.028615545,0.10426700931051472,0.083188854,-0.05914985188028927,-0.06835692,0.16365869615681336,0.16976133,510.0,6.554947322001681e-05
NaN,0.009505235043827134,0.07501162,0.06870892613588607,0.04788403,0.008139774793781829,0.0047705937,-0.08906702885750582,-0.075089134,520.0,5.755470192525536e-05
NaN,-0.3504118123419927,-0.36472005,-0.02500929514516588,-0.05061766,-0.010162499277002635,-0.01924274,-0.1916821741374924,-0.2101172,530.0,9.303624392487109e-05
NaN,-0.07656795735812699,-0.021760732,0.08173781066866836,0.09659742,-0.05831397298031227,-0.06793075,0.16167982602023284,0.16380727,540.0,7.571803871542215e-05
NaN,0.042718195997105586,0.13297413,0.04799202812049313,0.012778739,0.008296847410886389,0.010149921,-0.09486437947203737,-0.07771413,550.0,6.0135978856123984e-05
NaN,-0.34169557084418883,-0.33809212,-0.015382024896023362,-0.04493425,-0.009911527527757126,-0.016936941,-0.19397219431785198,-0.2101532,560.0,0.00010081499931402504
NaN,-0.0814980191499976,-0.036415976,0.04010178854996162,0.08749922,-0.05770429755947949,-0.065676905,0.15905096406070623,0.15790145,570.0,8.131417416734621e-05
NaN,0.07214460059375123,0.16902982,0.02124957782847772,-0.0046162517,0.008485908204652849,0.01406576,-0.09975359221268466,-0.082211606,580.0,5.8087105571758e-05
NaN,-0.3277289169896318,-0.30643058,-0.006072810806851404,-0.031806294,-0.009691434609137151,-0.013888722,-0.19501284659531498,-0.21279351,590.0,6.33169911452569e-05
NaN,-0.08559408692668591,-0.051343024,0.01153333623853693,0.05755749,-0.05716069823581815,-0.06099892,0.15530066419388316,0.15590261,600.0,6.601490167668089e-05
NaN,0.1009004365700719,0.20019826,0.005418968531156265,0.0022633127,0.008662491501219583,0.014331067,-0.10440811843444267,-0.08923812,610.0,7.523324893554673e-05
NaN,-0.305098177799271,-0.30427727,-0.0014897749243034221,-0.015536942,-0.009484084865404219,-0.012693344,-0.19486333899056138,-0.21746019,620.0,5.746047827415168e-05
NaN,-0.08774940724937502,-0.06711501,0.014023512662893513,0.037969448,-0.05643181644450551,-0.057514757,0.1515292151726895,0.15217298,630.0,7.190185715444386e-05
NaN,0.12274439349433336,0.2270197,0.005905913772228067,0.02422354,0.008807781541487137,0.0111508295,-0.10835968959442815,-0.09428811,640.0,8.347151015186682e-05
NaN,-0.27731766420737214,-0.30672422,-0.0013879059667839533,-0.0152777545,-0.00923911938900739,-0.011269579,-0.19417443762034253,-0.22093605,650.0,6.284594564931467e-05
