t,Ref1,Test1,Ref2,Test2,Ref3,Test3,Ref4,Test4,epoch,loss
0.0,0.11673776142757701,0.12054166,0.2151745902516706,0.27612376,0.05007444330229521,0.057606522,0.16662899369097517,0.16321282,0.0,0.003119622590020299
0.05,0.12905078547290919,0.1329516,0.21608676959674938,0.28289184,0.050865028889775364,0.05474641,0.1706405162323499,0.1693929,10.0,0.00103481684345752
0.1,0.14269842705783323,0.1448205,0.21291078372200495,0.25964132,0.05060457365600201,0.054297443,0.1748715800314705,0.17335156,20.0,0.0006166133098304272
0.15,0.15507539030234146,0.14770141,0.20277791879012394,0.22963907,0.04966734414847926,0.053915445,0.17862732234042425,0.17556804,30.0,0.00048482598504051566
0.2,0.16815718909547445,0.1549885,0.18677368516946774,0.2141161,0.048770316374681315,0.054133717,0.18243175549960672,0.17663123,40.0,0.00041930165025405586
0.25,0.18018238532560635,0.17411909,0.17227143137651574,0.22091609,0.04861060852098563,0.054317497,0.18562948265742144,0.17423095,50.0,0.0003519325109664351
0.3,0.1934102603164258,0.21381924,0.16054681815903205,0.2225622,0.04909485863377987,0.053967085,0.18843485251825717,0.17817712,60.0,0.0003775203076656908
0.35000000000000003,0.20573026953518248,0.24194723,0.1526236591288345,0.2045618,0.04961877006486947,0.05248785,0.18845879466961887,0.1813232,70.0,0.0002668119559530169
0.4,0.21763510360937302,0.23637009,0.14328561420814787,0.17376232,0.04969991402418832,0.05100631,0.18777012679205682,0.18201298,80.0,0.0002095547242788598
0.45000000000000007,0.22715077059718541,0.21352494,0.1298223655683002,0.16868028,0.04916216602774986,0.05055812,0.1891131534577741,0.17919157,90.0,0.0002770118589978665
0.5,0.23588360908635617,0.23205653,0.1137266302176538,0.18034226,0.048440625318860765,0.04950977,0.19260465488291573,0.18086405,100.0,0.0002655782154761255
0.55,0.24557688403093023,0.23269795,0.09647296066363929,0.186172,0.04790358261964954,0.04879268,0.19678857403802336,0.18235444,110.0,0.0001692379591986537
0.6,0.25639211513958093,0.23480609,0.07929681567481639,0.16473979,0.047722385427351945,0.049602218,0.19996316319190502,0.18800367,120.0,0.0001551800814922899
0.6500000000000001,0.26488761412877865,0.23232313,0.065607826898128,0.14357486,0.04777117322660201,0.050712917,0.20079292519290134,0.19159348,130.0,0.00026412692386657
0.7000000000000001,0.27083740209129753,0.24343179,0.051776184446186334,0.1281391,0.04770644987029052,0.050061632,0.2002453471950465,0.19460776,140.0,0.00017743084754329175
0.7500000000000001,0.2730683070972013,0.27910686,0.0599364535333818,0.10762072,0.04732821709754754,0.049273588,0.19990469138291292,0.19636336,150.0,0.00015102571342140436
0.8,0.2728128367020194,0.31384653,0.08763417245485397,0.09696159,0.04661708966659666,0.04730227,0.20079512346195622,0.19677134,160.0,0.00023376209719572216
0.8500000000000001,0.27096761486312193,0.31871748,0.09650670417263839,0.0916256,0.04589735657543566,0.046125576,0.20257596496574612,0.19672398,170.0,0.00013684973237104714
0.9000000000000001,0.2673282315149004,0.28692976,0.07276891180402603,0.08821889,0.045263357515110555,0.0464397,0.20441827440037177,0.19341882,180.0,0.00010504567762836814
0.9500000000000001,0.2616939263366345,0.28399774,0.0346987934727297,0.06289919,0.044805085724153496,0.046911925,0.2051378321600488,0.18962225,190.0,0.00012614241859409958
